quantile,year_match,species,edge_position,Std.Error,region,edgetype,Class,taxongroup,FAO,habitat,feeding.mode,spawning.type,tl,offspring.size,fecundity,age.maturity,length.infinity,age.max,axis,predicted.var,sstSE,sst,sst_at_last_years_edge,sst_SE_at_last_years_edge,edge_position_last_year
quantile_0.01,1968,alosa pseudoharengus,104.317752706273,61.282018103808,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.42738555658530547,25.973451077813383,NA,NA,NA
quantile_0.01,1968,alosa pseudoharengus,104.317752706273,61.282018103808,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.5874299947348027,10.08868018393552,NA,NA,NA
quantile_0.01,1969,alosa pseudoharengus,104.317752706273,61.3582197165208,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.4209557496240553,26.6405290796802,26.6405290796802,0.4209557496240553,104.317752706273
quantile_0.01,1969,alosa pseudoharengus,104.317752706273,61.3582197165208,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.5781670679949396,9.420501898975793,9.420501898975793,0.5781670679949396,104.317752706273
quantile_0.01,1970,alosa pseudoharengus,106.944752690743,66.7309136498685,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.42417114834040537,26.377673611734284,26.405053543906032,0.4367270416006341,104.317752706273
quantile_0.01,1970,alosa pseudoharengus,106.944752690743,66.7309136498685,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.5583978804026777,8.658601114922494,8.758062215637766,0.5740942699420742,104.317752706273
quantile_0.01,1971,alosa pseudoharengus,104.317752706273,65.5073366966161,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.42480214704912017,26.183900353577368,26.149235380937352,0.41288140030018994,106.944752690743
quantile_0.01,1971,alosa pseudoharengus,104.317752706273,65.5073366966161,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.58055979791648,9.589873956256088,9.477124510364952,0.5645060010519988,106.944752690743
quantile_0.01,1972,alosa pseudoharengus,115.015105987887,91.1123164065002,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.3872741556649844,25.9316756435785,26.0620326992034,0.4379447022851153,104.317752706273
quantile_0.01,1972,alosa pseudoharengus,115.015105987887,91.1123164065002,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.5114528664333806,9.521500367961924,9.9706040069557,0.5745320349471071,104.317752706273
quantile_0.01,1973,alosa pseudoharengus,414.600739432263,154.124491751688,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.20974103467864538,23.906480693658303,25.682915447377248,0.3838932459264794,115.015105987887
quantile_0.01,1973,alosa pseudoharengus,414.600739432263,154.124491751688,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.2722881309664792,4.991051736877177,9.60693834461573,0.5022208850586193,115.015105987887
quantile_0.01,1974,alosa pseudoharengus,465.033097787068,163.457269066814,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.17804627432493667,25.12842993469252,25.299259273373416,0.2115055057082793,414.600739432263
quantile_0.01,1974,alosa pseudoharengus,465.033097787068,163.457269066814,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.23776889467848486,6.138576017483315,5.8925690269536055,0.27705280483459177,414.600739432263
quantile_0.01,1975,alosa pseudoharengus,215.954058153204,144.558248152774,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.21761942998422926,25.02182580424826,24.65412042526095,0.17675124908100648,465.033097787068
quantile_0.01,1975,alosa pseudoharengus,215.954058153204,144.558248152774,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.29094955581948184,7.357303578533147,5.865767750437385,0.2384493657903027,465.033097787068
quantile_0.01,1976,alosa pseudoharengus,236.699847636759,90.2389362750943,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.23923771973975752,25.955588496667566,26.05573319018852,0.21679089838190346,215.954058153204
quantile_0.01,1976,alosa pseudoharengus,236.699847636759,90.2389362750943,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.31499393567139616,5.74007852252638,6.265669426626729,0.2878244565661367,215.954058153204
quantile_0.01,1977,alosa pseudoharengus,198.83142506702401,97.6173351613279,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.19989298129186756,25.254297603998374,25.00186338567623,0.24250021282592757,236.699847636759
quantile_0.01,1977,alosa pseudoharengus,198.83142506702401,97.6173351613279,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.26948329264992016,5.594588248552933,4.376028639085462,0.3192972072744036,236.699847636759
quantile_0.01,1978,alosa pseudoharengus,131.988518000225,64.392923305471,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.3127361836508371,26.9068581334933,26.082197823834385,0.2005165965118693,198.83142506702401
quantile_0.01,1978,alosa pseudoharengus,131.988518000225,64.392923305471,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmin,0.4192490241061715,8.5347148036848,5.83570181928166,0.26934232935807767,198.83142506702401
quantile_0.01,1979,alosa pseudoharengus,120.5523952577,62.0722793453273,neus,warmedge,Actinopterygii,fish,21,benthopelagic,generalist,non-guarder,3.39,1.03,142740,2.5,19,9,coast_km,predict.sstmax,0.3492626712389394,26.849320138748748,26.732076074485697,0.30390519985759856,131.988518000225
