query,Class,Family,Genus,Order,Phylum,Species,region
alosa aestivalis,Actinopterygii,Clupeidae,Alosa,Clupeiformes,Chordata,Alosa aestivalis,Northeast
alosa pseudoharengus,Actinopterygii,Clupeidae,Alosa,Clupeiformes,Chordata,Alosa pseudoharengus,Northeast
alosa sapidissima,Actinopterygii,Clupeidae,Alosa,Clupeiformes,Chordata,Alosa sapidissima,Northeast
amblyraja radiata,Elasmobranchii,Rajidae,Amblyraja,Rajiformes,Chordata,Amblyraja radiata,Northeast
ammodytes dubius,Actinopterygii,Ammodytidae,Ammodytes,Perciformes,Chordata,Ammodytes dubius,Northeast
anarhichas lupus,Actinopterygii,Anarhichadidae,Anarhichas,Perciformes,Chordata,Anarhichas lupus,Northeast
anchoa mitchilli,Actinopterygii,Engraulidae,Anchoa,Clupeiformes,Chordata,Anchoa mitchilli,Northeast
argentina silus,Actinopterygii,Argentinidae,Argentina,Argentiniformes,Chordata,Argentina silus,Northeast
brevoortia tyrannus,Actinopterygii,Clupeidae,Brevoortia,Clupeiformes,Chordata,Brevoortia tyrannus,Northeast
brosme brosme,Actinopterygii,Lotidae,Brosme,Gadiformes,Chordata,Brosme brosme,Northeast
cancer borealis,Malacostraca,Cancridae,Cancer,Decapoda,Arthropoda,Cancer borealis,Northeast
cancer irroratus,Malacostraca,Cancridae,Cancer,Decapoda,Arthropoda,Cancer irroratus,Northeast
centropristis striata,Actinopterygii,Serranidae,Centropristis,Perciformes,Chordata,Centropristis striata,Northeast
chaceon quinquedens,Malacostraca,Geryonidae,Chaceon,Decapoda,Arthropoda,Chaceon quinquedens,Northeast
citharichthys arctifrons,Actinopterygii,Paralichthyidae,Citharichthys,Pleuronectiformes,Chordata,Citharichthys arctifrons,Northeast
clupea harengus,Actinopterygii,Clupeidae,Clupea,Clupeiformes,Chordata,Clupea harengus,Northeast
conger oceanicus,Actinopterygii,Congridae,Conger,Anguilliformes,Chordata,Conger oceanicus,Northeast
cryptacanthodes maculatus,Actinopterygii,Cryptacanthodidae,Cryptacanthodes,Perciformes,Chordata,Cryptacanthodes maculatus,Northeast
cyclopterus lumpus,Actinopterygii,Cyclopteridae,Cyclopterus,Scorpaeniformes,Chordata,Cyclopterus lumpus,Northeast
cynoscion regalis,Actinopterygii,Sciaenidae,Cynoscion,Perciformes,Chordata,Cynoscion regalis,Northeast
dipturus laevis,Elasmobranchii,Rajidae,Dipturus,Rajiformes,Chordata,Dipturus laevis,Northeast
enchelyopus cimbrius,Actinopterygii,Lotidae,Enchelyopus,Gadiformes,Chordata,Enchelyopus cimbrius,Northeast
gadus morhua,Actinopterygii,Gadidae,Gadus,Gadiformes,Chordata,Gadus morhua,Northeast
glyptocephalus cynoglossus,Actinopterygii,Pleuronectidae,Glyptocephalus,Pleuronectiformes,Chordata,Glyptocephalus cynoglossus,Northeast
helicolenus dactylopterus,Actinopterygii,Sebastidae,Helicolenus,Scorpaeniformes,Chordata,Helicolenus dactylopterus,Northeast
hemitripterus americanus,Actinopterygii,Hemitripteridae,Hemitripterus,Scorpaeniformes,Chordata,Hemitripterus americanus,Northeast
hippoglossoides platessoides,Actinopterygii,Pleuronectidae,Hippoglossoides,Pleuronectiformes,Chordata,Hippoglossoides platessoides,Northeast
hippoglossus hippoglossus,Actinopterygii,Pleuronectidae,Hippoglossus,Pleuronectiformes,Chordata,Hippoglossus hippoglossus,Northeast
homarus americanus,Malacostraca,Nephropidae,Homarus,Decapoda,Arthropoda,Homarus americanus,Northeast
illex illecebrosus,Cephalopoda,Ommastrephidae,Illex,Oegopsida,Mollusca,Illex illecebrosus,Northeast
leiostomus xanthurus,Actinopterygii,Sciaenidae,Leiostomus,Perciformes,Chordata,Leiostomus xanthurus,Northeast
lepophidium profundorum,Actinopterygii,Ophidiidae,Lepophidium,Ophidiiformes,Chordata,Lepophidium profundorum,Northeast
