species,quantile,region
Aforia circinata,Warm Edge,Eastern Bering Sea
Alosa pseudoharengus,Warm Edge,Northeast
Alosa sapidissima,Warm Edge,West Coast
Amblyraja radiata,Warm Edge,Northeast
Ammodytes dubius,Warm Edge,Northeast
Ammodytes dubius,Cold Edge,Northeast
Anarhichas lupus,Warm Edge,Northeast
Anchoa mitchilli,Cold Edge,Northeast
Anoplopoma fimbria,Warm Edge,West Coast
Asterias amurensis,Cold Edge,Eastern Bering Sea
Atheresthes evermanni,Warm Edge,Eastern Bering Sea
Atheresthes stomias,Warm Edge,West Coast
Bathymaster signatus,Warm Edge,Eastern Bering Sea
Bathyraja interrupta,Warm Edge,Eastern Bering Sea
Bathyraja interrupta,Warm Edge,West Coast
Boltenia ovifera,Cold Edge,Eastern Bering Sea
Boreogadus saida,Warm Edge,Eastern Bering Sea
Brevoortia tyrannus,Cold Edge,Northeast
Brosme brosme,Warm Edge,Northeast
Buccinum angulosum,Warm Edge,Eastern Bering Sea
Buccinum polare,Warm Edge,Eastern Bering Sea
Buccinum scalariforme,Warm Edge,Eastern Bering Sea
Centropristis striata,Cold Edge,Northeast
Chionoecetes opilio,Warm Edge,Eastern Bering Sea
Clinopegma magnum,Warm Edge,Eastern Bering Sea
Clupea pallasii,Warm Edge,West Coast
Clupea pallasii,Cold Edge,Eastern Bering Sea
Conger oceanicus,Cold Edge,Northeast
Cryptacanthodes maculatus,Warm Edge,Northeast
Ctenodiscus crispatus,Warm Edge,Eastern Bering Sea
Cyclopterus lumpus,Warm Edge,Northeast
Cynoscion regalis,Cold Edge,Northeast
Dasycottus setiger,Warm Edge,Eastern Bering Sea
Dipturus laevis,Warm Edge,Northeast
Enchelyopus cimbrius,Warm Edge,Northeast
Eopsetta jordani,Warm Edge,West Coast
Erimacrus isenbeckii,Cold Edge,Eastern Bering Sea
Eunoe depressa,Warm Edge,Eastern Bering Sea
Eunoe nodosa,Warm Edge,Eastern Bering Sea
Fusitriton oregonensis,Warm Edge,Eastern Bering Sea
Gadus morhua,Warm Edge,Northeast
Glyptocephalus cynoglossus,Warm Edge,Northeast
Glyptocephalus zachirus,Warm Edge,West Coast
Hemilepidotus jordani,Warm Edge,Eastern Bering Sea
Hemilepidotus jordani,Cold Edge,Eastern Bering Sea
Hemilepidotus papilio,Warm Edge,Eastern Bering Sea
Hemitripterus americanus,Warm Edge,Northeast
Hemitripterus bolini,Warm Edge,Eastern Bering Sea
Hippoglossoides elassodon,Warm Edge,West Coast
Hippoglossoides platessoides,Warm Edge,Northeast
Hippoglossoides robustus,Warm Edge,Eastern Bering Sea
Hippoglossus hippoglossus,Warm Edge,Northeast
Hippoglossus stenolepis,Warm Edge,West Coast
Homarus americanus,Warm Edge,Northeast
Hyas coarctatus,Cold Edge,Eastern Bering Sea
Hyas lyratus,Cold Edge,Eastern Bering Sea
Icelinus filamentosus,Warm Edge,West Coast
Icelus spiniger,Warm Edge,Eastern Bering Sea
Labidochirus splendescens,Warm Edge,Eastern Bering Sea
Lepidopsetta polyxystra,Cold Edge,Eastern Bering Sea
Leptagonus frenatus,Warm Edge,Eastern Bering Sea
Leptasterias arctica,Warm Edge,Eastern Bering Sea
Leptasterias arctica,Cold Edge,Eastern Bering Sea
Leptasterias polaris,Warm Edge,Eastern Bering Sea
Leptoclinus maculatus,Warm Edge,Eastern Bering Sea
Lethasterias nanimensis,Warm Edge,Eastern Bering Sea
Leucoraja erinacea,Warm Edge,Northeast
Leucoraja garmani,Warm Edge,Northeast
Leucoraja ocellata,Warm Edge,Northeast
Limanda aspera,Cold Edge,Eastern Bering Sea
Limanda proboscidea,Cold Edge,Eastern Bering Sea
Limulus polyphemus,Cold Edge,Northeast
Liponema brevicornis,Warm Edge,West Coast
Loligo opalescens,Cold Edge,West Coast
Loligo pealeii,Cold Edge,Northeast
Lycodes brevipes,Warm Edge,Eastern Bering Sea
Lycodes diapterus,Warm Edge,West Coast
Lycodes palearis,Warm Edge,Eastern Bering Sea
Lycodes raridens,Warm Edge,Eastern Bering Sea
Mactromeris polynyma,Cold Edge,Eastern Bering Sea
Malacoraja senta,Warm Edge,Northeast
Mallotus villosus,Cold Edge,Eastern Bering Sea
Melanogrammus aeglefinus,Warm Edge,Northeast
Menidia menidia,Cold Edge,Northeast
Menticirrhus saxatilis,Cold Edge,Northeast
Merluccius albidus,Cold Edge,Northeast
Merluccius bilinearis,Warm Edge,Northeast
Metacarcinus magister,Warm Edge,West Coast
Microstomus pacificus,Warm Edge,West Coast
Morone saxatilis,Cold Edge,Northeast
Myoxocephalus jaok,Cold Edge,Eastern Bering Sea
Myoxocephalus octodecemspinosus,Warm Edge,Northeast
Myoxocephalus scorpius,Warm Edge,Eastern Bering Sea
Myoxocephalus scorpius,Cold Edge,Eastern Bering Sea
Myxine glutinosa,Warm Edge,Northeast
Neptunea borealis,Warm Edge,Eastern Bering Sea
Neptunea heros,Cold Edge,Eastern Bering Sea
Neptunea pribiloffensis,Warm Edge,Eastern Bering Sea
Neptunea ventricosa,Cold Edge,Eastern Bering Sea
Occella dodecaedron,Cold Edge,Eastern Bering Sea
Ophidion marginatum,Cold Edge,Northeast
Ophiodon elongatus,Warm Edge,West Coast
Ophiura sarsii,Warm Edge,Eastern Bering Sea
Oregonia gracilis,Cold Edge,Eastern Bering Sea
Pagurus aleuticus,Warm Edge,Eastern Bering Sea
Pagurus aleuticus,Cold Edge,Eastern Bering Sea
Pagurus capillatus,Cold Edge,Eastern Bering Sea
Pagurus confragosus,Warm Edge,Eastern Bering Sea
Pagurus ochotensis,Cold Edge,Eastern Bering Sea
Pagurus rathbuni,Warm Edge,Eastern Bering Sea
Pandalus eous,Warm Edge,Eastern Bering Sea
Pandalus jordani,Warm Edge,West Coast
Paralichthys dentatus,Cold Edge,Northeast
Paralithodes camtschaticus,Cold Edge,Eastern Bering Sea
Paralithodes platypus,Warm Edge,Eastern Bering Sea
Paralithodes platypus,Cold Edge,Eastern Bering Sea
Parastichopus leukothele,Warm Edge,West Coast
Peprilus triacanthus,Cold Edge,Northeast
Peristedion miniatum,Cold Edge,Northeast
Phycis chesteri,Warm Edge,Northeast
Placopecten magellanicus,Warm Edge,Northeast
Platichthys stellatus,Cold Edge,Eastern Bering Sea
Pleuronectes quadrituberculatus,Cold Edge,Eastern Bering Sea
