species,region,quantile,predicted.var,mean,median,lower,upper
aforia circinata,ebs,quantile_0.01,predict.sstmax,0.00459813819384045,0.00466857340101766,-0.015213027053849793,0.024271209381063894
aforia circinata,ebs,quantile_0.01,predict.sstmin,-0.001186500682060952,-0.00118858490211804,-0.00886895208791797,0.006542859587236893
alosa pseudoharengus,neus,quantile_0.01,predict.sstmax,-0.009602071170039644,-0.009640491131900722,-0.018507708890322806,-5.249657694240359e-4
alosa pseudoharengus,neus,quantile_0.01,predict.sstmin,-0.030869492548688513,-0.03099063268201701,-0.04771494138313697,-0.013708689928271236
alosa sapidissima,wc,quantile_0.01,predict.sstmax,-0.020773597274948485,-0.02086441753183073,-0.04249676678090965,0.0013210235503160479
alosa sapidissima,wc,quantile_0.01,predict.sstmin,-0.013297085494762387,-0.013341434581644624,-0.028329539174002612,0.001872825754594598
amblyraja radiata,neus,quantile_0.01,predict.sstmax,0.005736042915776421,0.005768685861346863,-0.0034585284400425174,0.014785779437705905
amblyraja radiata,neus,quantile_0.01,predict.sstmin,0.006430515970225194,0.006464916132574125,-5.535238659743867e-4,0.013297740625458493
ammodytes dubius,neus,quantile_0.01,predict.sstmax,-0.01061122188210711,-0.010669106189900177,-0.02157528388325395,5.683028118462831e-4
ammodytes dubius,neus,quantile_0.01,predict.sstmin,-0.012519266486262871,-0.012536153730883074,-0.024259831338175164,-5.703682173118751e-4
ammodytes dubius,neus,quantile_0.99,predict.sstmax,0.059120155047564404,0.059473245432599464,0.030709024743908273,0.08641089117939747
ammodytes dubius,neus,quantile_0.99,predict.sstmin,0.011842615752261568,0.011895811434894776,0.0044772732688207716,0.019018742992996863
anarhichas lupus,neus,quantile_0.01,predict.sstmax,-0.012981245164002782,-0.01301958144805971,-0.028994003364625764,0.003101203722530638
anarhichas lupus,neus,quantile_0.01,predict.sstmin,-0.011153613103319476,-0.011209430377921468,-0.024125157603190405,0.002029428042128807
asterias amurensis,ebs,quantile_0.99,predict.sstmax,0.012879834046427018,0.012954617155957481,-0.004589652509635725,0.03006167640348741
asterias amurensis,ebs,quantile_0.99,predict.sstmin,2.995280216889407e-4,2.972677900798888e-4,-0.004934679499243129,0.005502265612831663
atheresthes evermanni,ebs,quantile_0.01,predict.sstmax,0.005376218162699909,0.005434664509400347,-0.01547393419358967,0.02609579135060572
atheresthes evermanni,ebs,quantile_0.01,predict.sstmin,0.003181191645731803,0.003206894850592155,-0.006293659020147819,0.012603734592956776
atheresthes stomias,wc,quantile_0.01,predict.sstmax,0.0024363504448032154,0.0024127462447534596,-0.013424366783457545,0.01822872656546553
