species,region,quantile,mean,median,lower,upper
aforia circinata,ebs,quantile_0.01,2.2872150771610684,2.2865729671201365,1.6857248846036756,2.8836124044148304
alosa pseudoharengus,neus,quantile_0.01,9.765362991834508,9.767086975069695,7.761111216615949,11.76818361099831
alosa sapidissima,wc,quantile_0.01,13.902970392553282,13.904445355024155,9.96205572142259,17.837294271103953
amblyraja radiata,neus,quantile_0.01,1.6773954558752984,1.677471803477876,0.4104363182819042,2.937898073044387
ammodytes dubius,neus,quantile_0.01,11.636919802048782,11.64055350791595,9.192774493159297,14.07659981391388
ammodytes dubius,neus,quantile_0.99,-4.652237926577754,-4.6543071214949006,-6.19414128985331,-3.113385387384046
anarhichas lupus,neus,quantile_0.01,9.164056568955148,9.169738506904537,5.736527020476887,12.569838894547171
asterias amurensis,ebs,quantile_0.99,1.4598226601567508,1.4603846866963899,0.9413603071591496,1.9762830754244107
atheresthes evermanni,ebs,quantile_0.01,-3.397149361721738,-3.3982570522383755,-4.689388826143675,-2.1020322546958945
atheresthes stomias,wc,quantile_0.01,-6.15258418865786,-6.155963485984072,-9.15216343322694,-3.1321830601104477
bathyraja interrupta,ebs,quantile_0.01,0.30534013772826984,0.30638979418796564,-1.2800228876615,1.8844824179225304
boltenia ovifera,ebs,quantile_0.99,-4.5794684594020305,-4.579641948898704,-6.565681849935949,-2.579306361200423
boreogadus saida,ebs,quantile_0.01,-4.250995957853723,-4.263624760124225,-8.916227457498437,0.4336367254010373
brevoortia tyrannus,neus,quantile_0.99,1.2416382696897845,1.2468244072310202,-3.8939731762343195,6.378173190960707
brosme brosme,neus,quantile_0.01,5.592580799982577,5.595977804218185,2.8725534587434587,8.29241259368532
buccinum angulosum,ebs,quantile_0.01,1.851323499588764,1.8511465731297112,1.3281660446767019,2.3740142812840235
buccinum polare,ebs,quantile_0.01,1.6994536463900867,1.6998798046076604,1.1813785366943856,2.21796125716706
buccinum scalariforme,ebs,quantile_0.01,1.0586412493173307,1.0596524797424691,0.35238709027873233,1.763725644470349
centropristis striata,neus,quantile_0.99,6.153250083061987,6.152658773192009,4.678774297816354,7.624628885388633
chionoecetes opilio,ebs,quantile_0.01,3.4499170205710072,3.4492153722276235,0.8923936092525568,6.004791408038222
clinopegma magnum,ebs,quantile_0.01,3.6206228791802815,3.6208041068523507,3.2411995155198117,4.001132115753474
clupea pallasii,ebs,quantile_0.99,5.998719416029374,6.005417436016236,0.9578345168276811,11.028274350453238
clupea pallasii,wc,quantile_0.01,8.247809514569882,8.242549788339403,4.966290198500397,11.529059148068264
conger oceanicus,neus,quantile_0.99,3.2424208167412787,3.242453947223604,1.529848884495734,4.95420594292378
cryptacanthodes maculatus,neus,quantile_0.01,23.761003759941282,23.76136248439407,21.80913830934458,25.72367636226124
